freq	dB(stoz(S(1,1)))
1.00000000000000000E9	4.06513685587220319E1
1.00049999999999994E9	4.06438303288527614E1
1.00099999999999989E9	4.06363007248121377E1
1.00150000000000006E9	4.06287843871248811E1
1.00200000000000000E9	4.06212866096523229E1
1.00249999999999995E9	4.06138132322310330E1
1.00299999999999989E9	4.06063704186321761E1
1.00350000000000006E9	4.05989642891179514E1
1.00400000000000000E9	4.05916003916953283E1
1.00449999999999995E9	4.05842830290633483E1
1.00500000000000012E9	4.05770145112730773E1
1.00550000000000006E9	4.05697944699471691E1
1.00599999999999978E9	4.05626194269828844E1
1.00650000000000017E9	4.05554828249620947E1
1.00700000000000012E9	4.05483756655211636E1
1.00749999999999984E9	4.05412877589406939E1
1.00800000000000001E9	4.05342094010926690E1
1.00849999999999995E9	4.05271331374465760E1
1.00899999999999990E9	4.05200552201041830E1
1.00950000000000006E9	4.05129764356440258E1
1.01000000000000001E9	4.05059021379127149E1
1.01049999999999995E9	4.04988414865285673E1
1.01099999999999990E9	4.04918060108776334E1
1.01150000000000007E9	4.04848076791995481E1
1.01200000000000001E9	4.04778566815117014E1
1.01249999999999996E9	4.04709591720718276E1
1.01299999999999990E9	4.04641152780359725E1
1.01350000000000007E9	4.04573177417412211E1
1.01400000000000001E9	4.04505515651129777E1
1.01449999999999996E9	4.04437949030868182E1
1.01500000000000012E9	4.04370211917741429E1
1.01549999999999985E9	4.04302021627209029E1
1.01600000000000001E9	4.04233111228160347E1
1.01650000000000018E9	4.04163258022657335E1
1.01699999999999990E9	4.04092302324438002E1
1.01750000000000007E9	4.04020154333087333E1
1.01800000000000002E9	4.03946790209799111E1
1.01849999999999996E9	4.03872240664493543E1
1.01900000000000013E9	4.03796576018320330E1
1.01950000000000007E9	4.03719891119200902E1
1.02000000000000002E9	4.03642292307070250E1
1.02049999999999996E9	4.03563887426518697E1
1.02099999999999991E9	4.03484778987385528E1
1.02150000000000007E9	4.03405060055014708E1
1.02200000000000002E9	4.03324812245496034E1
1.02249999999999996E9	4.03244105195854274E1
1.02300000000000013E9	4.03162996974629007E1
1.02349999999999985E9	4.03081535026011828E1
1.02400000000000002E9	4.02999757362586220E1
1.02450000000000019E9	4.02917693821532641E1
1.02499999999999991E9	4.02835367273493894E1
1.02549999999999986E9	4.02752794724852237E1
1.02600000000000002E9	4.02669988287810821E1
1.02649999999999997E9	4.02586956013271724E1
1.02699999999999991E9	4.02503702593188617E1
1.02750000000000008E9	4.02420229944944197E1
1.02800000000000002E9	4.02336537692584528E1
1.02849999999999997E9	4.02252623559920952E1
1.02900000000000014E9	4.02168483689573453E1
1.02950000000000008E9	4.02084112900549950E1
1.03000000000000003E9	4.01999504895336912E1
1.03049999999999997E9	4.01914652425876717E1
1.03099999999999992E9	4.01829547426366052E1
1.03150000000000008E9	4.01744181119547061E1
1.03200000000000003E9	4.01658544102110238E1
1.03249999999999997E9	4.01572626413961942E1
1.03299999999999992E9	4.01486417595431355E1
1.03349999999999986E9	4.01399906735976320E1
1.03400000000000003E9	4.01313082517578135E1
1.03449999999999998E9	4.01225933255792278E1
1.03499999999999992E9	4.01138446941316840E1
1.03550000000000009E9	4.01050611284970415E1
1.03600000000000003E9	4.00962413769119230E1
1.03649999999999998E9	4.00873841708880274E1
1.03700000000000014E9	4.00784882326846947E1
1.03750000000000009E9	4.00695522845679886E1
1.03799999999999981E9	4.00605750603667943E1
1.03849999999999998E9	4.00515553199364316E1
1.03900000000000015E9	4.00424918672645802E1
1.03949999999999987E9	4.00333835731105925E1
1.04000000000000004E9	4.00242294032628365E1
1.04049999999999998E9	4.00150284537365941E1
1.04099999999999993E9	4.00057799945282433E1
1.04150000000000009E9	3.99964835238975391E1
1.04200000000000004E9	3.99871388355831581E1
1.04249999999999998E9	3.99777461018781555E1
1.04299999999999993E9	3.99683059761145731E1
1.04349999999999987E9	3.99588197188398553E1
1.04400000000000004E9	3.99492893528193216E1
1.04449999999999998E9	3.99397178529604258E1
1.04499999999999993E9	3.99301093783062999E1
1.04550000000000010E9	3.99204695543293431E1
1.04599999999999982E9	3.99108058147644451E1
1.04649999999999999E9	3.99011278129661795E1
1.04700000000000015E9	3.98914479129405075E1
1.04749999999999988E9	3.98817817692906029E1
1.04800000000000004E9	3.98721490025724368E1
1.04849999999999999E9	3.98625739708694038E1
1.04899999999999993E9	3.98530866282289953E1
1.04950000000000010E9	3.98437234439346621E1
1.05000000000000004E9	3.98345283310027432E1
1.05049999999999999E9	3.98255534953392498E1
1.05099999999999993E9	3.98168600670266803E1
1.05150000000000010E9	3.98085183130775411E1
1.05200000000000005E9	3.98006071627650382E1
1.05249999999999999E9	3.97932127174412731E1
1.05299999999999994E9	3.97864253947191449E1
1.05350000000000010E9	3.97803354146860633E1
1.05400000000000005E9	3.97750265247010981E1
1.05449999999999999E9	3.97705682193158783E1
1.05500000000000016E9	3.97670072343501246E1
1.05549999999999988E9	3.97643596754461814E1
1.05599999999999983E9	3.97626055571841430E1
1.05650000000000022E9	3.97616874774728180E1
1.05699999999999994E9	3.97615143996713538E1
1.05749999999999988E9	3.97619701024398342E1
1.05800000000000005E9	3.97629242289148399E1
1.05850000000000000E9	3.97642427597697345E1
1.05899999999999994E9	3.97657948080398516E1
1.05950000000000011E9	3.97674540445275948E1
1.06000000000000005E9	3.97690952964829236E1
1.06050000000000000E9	3.97705889545387503E1
1.06099999999999994E9	3.97717968333550775E1
1.06150000000000011E9	3.97725725946934450E1
1.06200000000000006E9	3.97727679835562720E1
1.06250000000000000E9	3.97722437676013252E1
1.06299999999999994E9	3.97708824378655867E1
1.06349999999999989E9	3.97685991622318991E1
1.06400000000000006E9	3.97653482730957109E1
1.06450000000000000E9	3.97611241850134345E1
1.06499999999999995E9	3.97559572893793334E1
1.06549999999999989E9	3.97499064564542826E1
1.06600000000000006E9	3.97430500943100551E1
1.06650000000000000E9	3.97354774285923318E1
1.06699999999999995E9	3.97272810872559257E1
1.06750000000000012E9	3.97185514776154847E1
1.06800000000000006E9	3.97093729873466339E1
